speech_id,topics
1130000985,federalism
1130000986,"budget, federalism"
1130000987,None
1130000988,labor
1130000989,None
1130000990,None
1130000991,federalism
1130000992,elections
1130000993,None
1130000994,"justice, labor"
1130000995,"environment, federalism"
1130000996,None
1130000997,None
1130000998,None
1130000999,None
1130001000,None
1130001001,"justice, money"
1130001002,"foreign, labor"
1130001003,None
1130001004,None
1130001005,None
1130001006,None
1130001007,None
1130001008,"labor, money"
1130001009,None
1130001010,None
1130001011,budget
1130001012,elections
1130001013,"justice, labor"
1130001014,"budget, business, foreign, labor"
1130001015,None
1130001016,"federalism, labor"
1130001017,None
1130001018,None
1130001019,None
1130001020,None
1130001021,"elections, money"
1130001022,elections
1130001023,justice
1130001024,"federalism, government"
1130001025,None
1130001026,None
1130001027,None
1130001028,None
1130001029,None
1130001030,None
1130001031,None
1130001032,"justice, money"
1130001033,health
1130001034,None
1130001035,None
1130001036,None
1130001037,None
1130001038,"justice, labor"
1130001039,None
1130001040,None
1130001041,None
1130001042,None
1130001043,None
1130001044,"justice, money"
1130001045,justice
1130001046,"budget, education, elections, federalism, labor"
1130001047,None
1130001048,"foreign, federalism"
1130001049,"budget, foreign"
1130001050,None
1130001051,budget
1130001052,elections
1130001053,"justice, labor"
1130001054,"budget, federalism, money"
1130001055,None
1130001056,None
1130001057,"budget, elections, federalism"
1130001058,None
1130001059,federalism
1130001060,federalism
1130001061,elections
1130001062,justice
1130001063,"justice, minorities, topic"
1130001064,None
1130001065,None
1130001066,None
1130001067,"budget, elections"
1130001068,None
1130001069,budget
1130001070,elections
1130001071,justice
1130001072,"budget, defense, foreign, labor, minorities"
1130001073,None
1130001074,None
1130001075,None
1130001076,None
1130001077,None
1130001078,business
1130001079,None
1130001080,None
1130001081,elections
1130001082,None
1130001083,None
1130001084,elections
1130001085,None
1130001086,elections
1130001087,None
1130001088,elections
1130001089,None
1130001090,elections
1130001091,None
1130001092,elections
1130001093,elections
1130001094,"elections, federalism, labor"
1130001095,elections
1130001096,None
1130001097,None
1130001098,None
1130001099,justice
1130001100,None
1130001101,None
1130001102,business
1130001103,federalism
1130001104,None
1130001105,None
1130001106,None
1130001107,None
1130001108,None
1130001109,None
1130001110,None
1130001111,None
1130001112,"budget, economy, labor, tax"
1130001113,"budget, government, health, justice, minorities"
1130001114,None
1130001115,"budget, labor"
1130001116,"budget, federalism, tax"
1130001117,"budget, business, foreign, immigration, justice, labor, minorities, tax"
1130001118,None
1130001119,"budget, labor, money, tax"
1130001120,None
1130001121,None
1130001122,"budget, defense, justice, tax"
1130001123,None
1130001124,None
1130001125,None
1130001126,"budget, business"
1130001127,None
1130001128,"budget, labor"
1130001129,None
1130001130,None
1130001131,"federalism, justice, minorities, money"
1130001132,"elections, justice, labor, minorities"
1130001133,"labor, money, economy"
1130001134,"budget, justice, minorities, tax"
1130001135,"defense, federalism, government, money"
1130001136,"federalism, justice, minorities"
1130001137,"budget, economy, federalism, government"
1130001138,"economy, environment, federalism"
1130001139,"budget, minorities, tax"
1130001140,"federalism, justice, labor, minorities"
1130001141,"budget, business, economy, federalism, government, health, tax"
1130001142,alcohol
1130001143,None
1130001144,"justice, labor, minorities, tax"
1130001145,"budget, minorities, tax"
1130001146,None
1130001147,None
1130001148,None
1130001149,"budget, business, elections, foreign, health, money"
1130001150,None
1130001151,"budget, business, crime, elections, immigration, justice, labor, minorities, money, religion"
1130001152,None
1130001153,"foreign, immigration"
1130001154,None
1130001155,"federalism, justice, minorities"
1130001156,"defense, federalism, minorities"
1130001157,labor
1130001158,"defense, education, federalism, foreign, labor"
1130001159,None
1130001160,"business, education, federalism, labor, minorities"
1130001161,"economy, federalism"
1130001162,"business, education, government, justice, defense"
1130001163,"foreign, government"
1130001164,elections
1130001165,None
1130001166,elections
1130001167,education
1130001168,"business, defense, education, elections, environment, foreign, health, justice, government"
1130001169,"federalism, justice, labor, minorities"
1130001170,"defense, foreign, justice, money"
1130001171,"business, elections, federalism, foreign, immigration, justice, religion"
1130001172,"crime, education, federalism, labor"
1130001173,"business, justice, labor"
1130001174,"defense, education, federalism, government, health, justice, labor, mail, minorities, money"
1130001175,elections
1130001176,"federalism, foreign"
1130001177,"budget, economy, federalism, labor"
1130001178,"education, federalism, government, health, labor"
1130001179,budget
1130001180,"elections, federalism, justice, labor, minorities"
1130001181,"health, justice"
1130001182,health
1130001183,"federalism, government, justice, labor, minorities, religion"
1130001184,foreign
1130001185,"elections, federalism, immigration, justice, minorities, tax"
1130001186,"elections, foreign"
1130001187,None
1130001188,None
1130001189,None
1130001190,None
1130001191,None
1130001192,"defense, education, labor"
1130001193,"defense, education, federalism, minorities"
1130001194,labor
1130001195,"business, foreign, government"
1130001196,"education, elections, federalism, topic"
1130001197,federalism
1130001198,"crime, health"
1130001199,"education, minorities"
1130001200,"defense, environment, federalism, labor"
1130001201,"education, federalism, immigration, labor"
1130001202,elections
1130001203,"federalism, health"
1130001204,federalism
1130001205,"defense, education, labor"
1130001206,"defense, foreign, immigration, justice"
1130001207,"defense, federalism, health, justice"
1130001208,"alcohol, foreign"
1130001209,elections
1130001210,"federalism, religion"
1130001211,None
1130001212,None
1130001213,None
1130001214,None
1130001215,None
1130001216,None
1130001217,"budget, business, environment, foreign, health, justice, labor, minorities, money, tax"
1130001218,None
1130001219,"business, education, foreign, minorities"
1130001220,None
1130001221,"budget, elections, justice, minorities"
1130001222,None
1130001223,"federalism, health, labor, money"
1130001224,foreign
1130001225,"foreign, money"
1130001226,"elections, federalism, minorities, foreign"
1130001227,None
1130001228,"budget, business, defense, economy, elections, government, health, justice, labor, minorities"
1130001229,None
1130001230,None
1130001231,elections
1130001232,None
1130001233,elections
1130001234,None
1130001235,None
1130001236,education
1130001237,"foreign, health, justice, minorities"
1130001238,"justice, minorities, religion"
1130001239,"justice, minorities"
1130001240,"education, justice, minorities"
1130001241,"justice, labor"
1130001242,"business, environment, foreign, labor, trade"
1130001243,"justice, minorities"
1130001244,"education, justice, minorities"
1130001245,"justice, health, minorities"
1130001246,"health, justice, minorities"
1130001247,"health, justice, minorities"
1130001248,"budget, justice, labor, minorities"
1130001249,"justice, minorities"
1130001250,"budget, minorities"
1130001251,"health, justice, minorities"
1130001252,"foreign, health, justice, minorities"
1130001253,"budget, federalism, justice, labor, minorities"
1130001254,elections
1130001255,health
1130001256,None
1130001257,None
1130001258,None
1130001259,"elections, health"
1130001260,"budget, federalism, health"
1130001261,None
1130001262,"foreign, health"
1130001263,None
1130001264,"federalism, health"
1130001265,None
1130001266,"federalism, health"
1130001267,None
1130001268,"education, elections, health"
1130001269,None
1130001270,None
1130001271,"crime, defense, elections, federalism, health, minorities"
1130001272,None
1130001273,None
1130001274,None
1130001275,None
1130001276,None
1130001277,None
1130001278,None
1130001279,"elections, health"
1130001280,None
1130001281,None
1130001282,None
1130001283,elections
1130001284,None
1130001285,None
1130001286,"budget, justice, labor, minorities"
1130001287,"budget, federalism, justice"
1130001288,"budget, justice, minorities"
1130001289,education
1130001290,None
1130001291,"budget, business, crime, education, elections, environment, federalism, government, health, immigration, justice, minorities, money, tax, defense, foreign, labor"
1130001292,None
1130001293,None
1130001294,None
1130001295,"alcohol, crime, defense, education, federalism, foreign, health, justice, labor, topic, minorities"
1130001296,"defense, federalism, justice, minorities, money"
1130001297,None
1130001298,"justice, minorities"
1130001299,None
1130001300,justice
1130001301,None
1130001302,justice
1130001303,None
1130001304,"education, health, justice, labor"
1130001305,None
1130001306,"federalism, health"
1130001307,None
1130001308,"federalism, labor, minorities"
1130001309,None
1130001310,"education, justice, minorities"
1130001311,None
1130001312,justice
1130001313,None
1130001314,"budget, justice, labor, minorities, foreign"
1130001315,None
1130001316,None
1130001317,"education, foreign, minorities"
1130001318,federalism
1130001319,"education, minorities"
1130001320,None
1130001321,"federalism, minorities, money"
1130001322,None
1130001323,None
1130001324,None
1130001325,None
1130001326,None
1130001327,None
1130001328,"federalism, religion, topic, justice"
1130001329,None
1130001330,None
1130001331,None
1130001332,"health, justice, labor, minorities"
1130001333,"minorities, health"
1130001334,None
1130001335,None
1130001336,"foreign, minorities"
1130001337,None
1130001338,"foreign, minorities"
1130001339,"federalism, foreign, health, immigration, minorities"
1130001340,"business, foreign, justice"
1130001341,"education, federalism, foreign, justice, minorities"
1130001342,minorities
1130001343,minorities
1130001344,None
1130001345,"justice, minorities"
1130001346,None
1130001347,minorities
1130001348,"alcohol, federalism, justice, minorities"
